Candidato,Ipsos,Canal,Entrevistas,Fecha 1,Fecha 2
KF,0.09,Canal N,4,1/01/2021,28/03/2021
KF,0.09,RPP,3,1/01/2021,28/03/2021
KF,0.09,Latina,2,1/01/2021,28/03/2021
KF,0.09,ATV,2,1/01/2021,28/03/2021
KF,0.09,Panam,3,1/01/2021,28/03/2021
KF,0.09,TV Peru,2,1/01/2021,28/03/2021
KF,0.09,America,3,1/01/2021,28/03/2021
AB,0.022,Williax,4,1/01/2021,28/03/2021
AB,0.022,Canal N,7,1/01/2021,28/03/2021
AB,0.022,RPP,7,1/01/2021,28/03/2021
AB,0.022,Latina,1,1/01/2021,28/03/2021
AB,0.022,ATV,3,1/01/2021,28/03/2021
AB,0.022,Panam,2,1/01/2021,28/03/2021
AB,0.022,TV Peru,3,1/01/2021,28/03/2021
AB,0.022,America,0,1/01/2021,28/03/2021
DU,0.04,Williax,4,1/01/2021,28/03/2021
DU,0.04,Canal N,4,1/01/2021,28/03/2021
DU,0.04,RPP,4,1/01/2021,28/03/2021
DU,0.04,Latina,3,1/01/2021,28/03/2021
DU,0.04,ATV,4,1/01/2021,28/03/2021
DU,0.04,Panam,3,1/01/2021,28/03/2021
DU,0.04,TV Peru,1,1/01/2021,28/03/2021
DU,0.04,America,0,1/01/2021,28/03/2021
GF,0.1,Williax,2,1/01/2021,28/03/2021
GF,0.1,Canal N,11,1/01/2021,28/03/2021
GF,0.1,RPP,7,1/01/2021,28/03/2021
GF,0.1,Latina,17,1/01/2021,28/03/2021
GF,0.1,ATV,14,1/01/2021,28/03/2021
GF,0.1,Panam,3,1/01/2021,28/03/2021
GF,0.1,TV Peru,3,1/01/2021,28/03/2021
GF,0.1,America,2,1/01/2021,28/03/2021
DS,0.01,Williax,1,1/01/2021,28/03/2021
DS,0.01,Canal N,8,1/01/2021,28/03/2021
DS,0.01,RPP,2,1/01/2021,28/03/2021
DS,0.01,Latina,2,1/01/2021,28/03/2021
DS,0.01,ATV,6,1/01/2021,28/03/2021
DS,0.01,Panam,2,1/01/2021,28/03/2021
DS,0.01,TV Peru,2,1/01/2021,28/03/2021
DS,0.01,America,1,1/01/2021,28/03/2021
JG,0.01,Williax,1,1/01/2021,28/03/2021
JG,0.01,Canal N,5,1/01/2021,28/03/2021
JG,0.01,RPP,6,1/01/2021,28/03/2021
JG,0.01,Latina,4,1/01/2021,28/03/2021
JG,0.01,ATV,3,1/01/2021,28/03/2021
JG,0.01,Panam,1,1/01/2021,28/03/2021
JG,0.01,TV Peru,3,1/01/2021,28/03/2021
JG,0.01,America,2,1/01/2021,28/03/2021
MA,0.007,Williax,1,1/01/2021,28/03/2021
MA,0.007,Canal N,4,1/01/2021,28/03/2021
